Equipment #,Equipment Type,Tool #,EquipToolID,Tool Specifics,Item #,EquipToolItemID,Item Info,Toolbox Type,JobID,ToolBoxID,ToolBoxJobID,ToolRoomName,EmployeeID,ToolRoomID,Condition,CertificationID,CertificationID2,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,1,1001000001, 1/2-Inch nut driver,General Maintenance,18,100,118,EmployeeHeld,23,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,2,1001000002, 1/2-Inch nut driver,General Maintenance,18,200,218,EmployeeHeld,64,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,3,1001000003, 1/2-Inch nut driver,General Maintenance,18,300,318,EmployeeHeld,135,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,4,1001000004, 1/2-Inch nut driver,General Maintenance,18,400,418,EmployeeHeld,146,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,5,1001000005, 1/2-Inch nut driver,General Maintenance,18,500,518,EmployeeHeld,165,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,6,1001000006, 1/2-Inch nut driver,General Maintenance,18,600,618,EmployeeHeld,260,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,7,1001000007, 1/2-Inch nut driver,General Maintenance,18,700,718,EmployeeHeld,35,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,8,1001000008, 1/2-Inch nut driver,General Maintenance,18,800,818,EmployeeHeld,47,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,9,1001000009, 1/2-Inch nut driver,General Maintenance,18,900,918,EmployeeHeld,48,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,10,1001000010, 1/2-Inch nut driver,General Maintenance,18,1100,1118,EmployeeHeld,65,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,11,1001000011, 1/2-Inch nut driver,General Maintenance,18,1200,1218,EmployeeHeld,68,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,12,1001000012, 1/2-Inch nut driver,General Maintenance,18,1300,1318,EmployeeHeld,293,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,13,1001000013, 1/2-Inch nut driver,General Maintenance,18,1400,1418,EmployeeHeld,119,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,14,1001000014, 1/2-Inch nut driver,General Maintenance,18,1500,1518,EmployeeHeld,142,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,15,1001000015, 1/2-Inch nut driver,General Maintenance,18,1600,1618,EmployeeHeld,296,3,Good,0,0,,,,,,,
1000000000,Nut Driver,1000000,1001000000,1/2-Inch,16,1001000016, 1/2-Inch nut driver,General Maintenance,18,1000,1018,Quick,,2,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,17,1002000017,1/4-Inch nut driver,General Maintenance,18,100,118,EmployeeHeld,23,3,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,18,1002000018,1/4-Inch nut driver,General Maintenance,18,200,218,EmployeeHeld,64,3,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,19,1002000019,1/4-Inch nut driver,General Maintenance,18,300,318,EmployeeHeld,135,3,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,20,1002000020,1/4-Inch nut driver,General Maintenance,18,400,418,EmployeeHeld,146,3,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,21,1002000021,1/4-Inch nut driver,General Maintenance,18,500,518,EmployeeHeld,165,3,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,22,1002000022,1/4-Inch nut driver,General Maintenance,18,600,618,EmployeeHeld,260,3,Good,0,0,,,,,,,
1000000000,Nut Driver,2000000,1002000000,1/4-Inch,23,1002000023,1/4-Inch nut driver,General Maintenance,18,700,718,EmployeeHeld,35,3,Good,0,0,,,,,,,
