EquipToolItemID,EquipmentToolID,ItemID,ItemInfo
1001000001,1001000000,1, 1\2 Inch nut driver
1001000002,1001000000,2, 1\2 Inch nut driver
1001000003,1001000000,3, 1\2 Inch nut driver
1001000004,1001000000,4, 1\2 Inch nut driver
1001000005,1001000000,5, 1\2 Inch nut driver
1001000006,1001000000,6, 1\2 Inch nut driver
1001000007,1001000000,7, 1\2 Inch nut driver
1001000008,1001000000,8, 1\2 Inch nut driver
1001000009,1001000000,9, 1\2 Inch nut driver
1001000010,1001000000,10, 1\2 Inch nut driver
1002000011,1002000000,11,1\4 Inch nut driver
1002000012,1002000000,12,1\4 Inch nut driver
1002000013,1002000000,13,1\4 Inch nut driver
1002000014,1002000000,14,1\4 Inch nut driver
1002000015,1002000000,15,1\4 Inch nut driver
1002000016,1002000000,16,1\4 Inch nut driver
1002000017,1002000000,17,1\4 Inch nut driver
1002000018,1002000000,18,1\4 Inch nut driver
1002000019,1002000000,19,1\4 Inch nut driver
1002000020,1002000000,20,1\4 Inch nut driver
1002000021,1002000000,21,Nut Driver 1\4
1002000022,1002000000,22,Nut Driver 1\4
1002000023,1002000000,23,Nut Driver 1\4
1002000024,1002000000,24,Nut Driver 1\4
1002000025,1002000000,25,Nut Driver 1\4
1002000026,1002000000,26,Nut Driver 1\4
1002000027,1002000000,27,Nut Driver 1\4
1002000028,1002000000,28,Nut Driver 1\4
1002000029,1002000000,29,Nut Driver 1\4
1002000030,1002000000,30,Nut Driver 1\4
1002000031,1002000000,31,Nut Driver 1\4
1002000032,1002000000,32,Nut Driver 1\4
1002000033,1002000000,33,Nut Driver 1\4
1002000034,1002000000,34,Nut Driver 1\4
1002000035,1002000000,35,Nut Driver 1\4
1002000036,1002000000,36,Nut Driver 1\4
1002000037,1002000000,37,Nut Driver 1\4
1002000038,1002000000,38,Nut Driver 1\4
1002000039,1002000000,39,Nut Driver 1\4
1002000040,1002000000,40,Nut Driver 1\4
1002000041,1002000000,41,Nut Driver 1\4
1002000042,1002000000,42,Nut Driver 1\4
1002000043,1002000000,43,Nut Driver 1\4
1002000044,1002000000,44,Nut Driver 1\4
1002000045,1002000000,45,Nut Driver 1\4
1002000046,1002000000,46,Nut Driver 1\4
1002000047,1002000000,47,Nut Driver 1\4
1002000048,1002000000,48,Nut Driver 1\4
1002000049,1002000000,49,Nut Driver 1\4
1002000050,1002000000,50,Nut Driver 1\4
1002000051,1002000000,51,Nut Driver 1\4
1002000052,1002000000,52,Nut Driver 1\4
1002000053,1002000000,53,Nut Driver 1\4
1002000054,1002000000,54,Nut Driver 1\4
1002000055,1002000000,55,Nut Driver 1\4
1002000056,1002000000,56,Nut Driver 1\4
1002000057,1002000000,57,Nut Driver 1\4
1002000058,1002000000,58,Nut Driver 1\4
1002000059,1002000000,59,Nut Driver 1\4
1002000060,1002000000,60,Nut Driver 1\4
1002000061,1002000000,61,Nut Driver 1\4
1002000062,1002000000,62,Nut Driver 1\4
1002000063,1002000000,63,Nut Driver 1\4
1002000064,1002000000,64,Nut Driver 1\4
1002000065,1002000000,65,Nut Driver 1\4
1002000066,1002000000,66,Nut Driver 1\4
1002000067,1002000000,67,Nut Driver 1\4
1002000068,1002000000,68,Nut Driver 1\4
1002000069,1002000000,69,Nut Driver 1\4
1002000070,1002000000,70,Nut Driver 1\4
1003000071,1003000000,71,11\32 Inch nut driver
1003000072,1003000000,72,11\32 Inch nut driver
1003000073,1003000000,73,11\32 Inch nut driver
1003000074,1003000000,74,11\32 Inch nut driver
1003000075,1003000000,75,11\32 Inch nut driver
1003000076,1003000000,76,11\32 Inch nut driver
1003000077,1003000000,77,11\32 Inch nut driver
1003000078,1003000000,78,11\32 Inch nut driver
1003000079,1003000000,79,11\32 Inch nut driver
1003000080,1003000000,80,11\32 Inch nut driver
1003000081,1003000000,81,Nut Driver 11\32
1003000082,1003000000,82,Nut Driver 11\32
1003000083,1003000000,83,Nut Driver 11\32
1003000084,1003000000,84,Nut Driver 11\32
1003000085,1003000000,85,Nut Driver 11\32
1003000086,1003000000,86,Nut Driver 11\32
1003000087,1003000000,87,Nut Driver 11\32
1003000088,1003000000,88,Nut Driver 11\32
1003000089,1003000000,89,Nut Driver 11\32
1003000090,1003000000,90,Nut Driver 11\32
1003000091,1003000000,91,Nut Driver 11\32
1003000092,1003000000,92,Nut Driver 11\32
1003000093,1003000000,93,Nut Driver 11\32
1003000094,1003000000,94,Nut Driver 11\32
1003000095,1003000000,95,Nut Driver 11\32
1003000096,1003000000,96,Nut Driver 11\32
1003000097,1003000000,97,Nut Driver 11\32
1003000098,1003000000,98,Nut Driver 11\32
1003000099,1003000000,99,Nut Driver 11\32
1003000100,1003000000,100,Nut Driver 11\32
1003000101,1003000000,101,Nut Driver 11\32
1003000102,1003000000,102,Nut Driver 11\32
1003000103,1003000000,103,Nut Driver 11\32
1003000104,1003000000,104,Nut Driver 11\32
1003000105,1003000000,105,Nut Driver 11\32
1003000106,1003000000,106,Nut Driver 11\32
1003000107,1003000000,107,Nut Driver 11\32
1003000108,1003000000,108,Nut Driver 11\32
1003000109,1003000000,109,Nut Driver 11\32
1003000110,1003000000,110,Nut Driver 11\32
1003000111,1003000000,111,Nut Driver 11\32
1003000112,1003000000,112,Nut Driver 11\32
1003000113,1003000000,113,Nut Driver 11\32
1003000114,1003000000,114,Nut Driver 11\32
1003000115,1003000000,115,Nut Driver 11\32
1003000116,1003000000,116,Nut Driver 11\32
1003000117,1003000000,117,Nut Driver 11\32
1003000118,1003000000,118,Nut Driver 11\32
1003000119,1003000000,119,Nut Driver 11\32
1003000120,1003000000,120,Nut Driver 11\32
1003000121,1003000000,121,Nut Driver 11\32
1003000122,1003000000,122,Nut Driver 11\32
1003000123,1003000000,123,Nut Driver 11\32
1003000124,1003000000,124,Nut Driver 11\32
1003000125,1003000000,125,Nut Driver 11\32
1003000126,1003000000,126,Nut Driver 11\32
1003000127,1003000000,127,Nut Driver 11\32
1003000128,1003000000,128,Nut Driver 11\32
1003000129,1003000000,129,Nut Driver 11\32
1003000130,1003000000,130,Nut Driver 11\32
1004000131,1004000000,131,3\16 Inch nut driver
1004000132,1004000000,132,3\16 Inch nut driver
1004000133,1004000000,133,3\16 Inch nut driver
1004000134,1004000000,134,3\16 Inch nut driver
1004000135,1004000000,135,3\16 Inch nut driver
1004000136,1004000000,136,3\16 Inch nut driver
1004000137,1004000000,137,3\16 Inch nut driver
1004000138,1004000000,138,3\16 Inch nut driver
1004000139,1004000000,139,3\16 Inch nut driver
1004000140,1004000000,140,3\16 Inch nut driver
1004000141,1004000000,141,Nut Driver 3\16
1004000142,1004000000,142,Nut Driver 3\16
1004000143,1004000000,143,Nut Driver 3\16
1004000144,1004000000,144,Nut Driver 3\16
1004000145,1004000000,145,Nut Driver 3\16
1004000146,1004000000,146,Nut Driver 3\16
1004000147,1004000000,147,Nut Driver 3\16
1004000148,1004000000,148,Nut Driver 3\16
1004000149,1004000000,149,Nut Driver 3\16
1004000150,1004000000,150,Nut Driver 3\16
1004000151,1004000000,151,Nut Driver 3\16
1004000152,1004000000,152,Nut Driver 3\16
1004000153,1004000000,153,Nut Driver 3\16
1004000154,1004000000,154,Nut Driver 3\16
1004000155,1004000000,155,Nut Driver 3\16
1004000156,1004000000,156,Nut Driver 3\16
1004000157,1004000000,157,Nut Driver 3\16
1004000158,1004000000,158,Nut Driver 3\16
1004000159,1004000000,159,Nut Driver 3\16
1004000160,1004000000,160,Nut Driver 3\16
1004000161,1004000000,161,Nut Driver 3\16
1004000162,1004000000,162,Nut Driver 3\16
1004000163,1004000000,163,Nut Driver 3\16
1004000164,1004000000,164,Nut Driver 3\16
1004000165,1004000000,165,Nut Driver 3\16
1004000166,1004000000,166,Nut Driver 3\16
1004000167,1004000000,167,Nut Driver 3\16
1004000168,1004000000,168,Nut Driver 3\16
1004000169,1004000000,169,Nut Driver 3\16
1004000170,1004000000,170,Nut Driver 3\16
1004000171,1004000000,171,Nut Driver 3\16
1004000172,1004000000,172,Nut Driver 3\16
1004000173,1004000000,173,Nut Driver 3\16
1004000174,1004000000,174,Nut Driver 3\16
1004000175,1004000000,175,Nut Driver 3\16
1004000176,1004000000,176,Nut Driver 3\16
1004000177,1004000000,177,Nut Driver 3\16
1004000178,1004000000,178,Nut Driver 3\16
1004000179,1004000000,179,Nut Driver 3\16
1004000180,1004000000,180,Nut Driver 3\16
1004000181,1004000000,181,Nut Driver 3\16
1004000182,1004000000,182,Nut Driver 3\16
1004000183,1004000000,183,Nut Driver 3\16
1004000184,1004000000,184,Nut Driver 3\16
1004000185,1004000000,185,Nut Driver 3\16
1004000186,1004000000,186,Nut Driver 3\16
1004000187,1004000000,187,Nut Driver 3\16
1004000188,1004000000,188,Nut Driver 3\16
1004000189,1004000000,189,Nut Driver 3\16
1004000190,1004000000,190,Nut Driver 3\16
1005000191,1005000000,191,3\8 Inch nut driver
1005000192,1005000000,192,3\8 Inch nut driver
1005000193,1005000000,193,3\8 Inch nut driver
1005000194,1005000000,194,3\8 Inch nut driver
1005000195,1005000000,195,3\8 Inch nut driver
1005000196,1005000000,196,3\8 Inch nut driver
1005000197,1005000000,197,3\8 Inch nut driver
1005000198,1005000000,198,3\8 Inch nut driver
1005000199,1005000000,199,3\8 Inch nut driver
1005000200,1005000000,200,3\8 Inch nut driver
1005000201,1005000000,201,Nut Driver 3\8
1005000202,1005000000,202,Nut Driver 3\8
1005000203,1005000000,203,Nut Driver 3\8
1005000204,1005000000,204,Nut Driver 3\8
1005000205,1005000000,205,Nut Driver 3\8
1005000206,1005000000,206,Nut Driver 3\8
1005000207,1005000000,207,Nut Driver 3\8
1005000208,1005000000,208,Nut Driver 3\8
1005000209,1005000000,209,Nut Driver 3\8
1005000210,1005000000,210,Nut Driver 3\8
1005000211,1005000000,211,Nut Driver 3\8
1005000212,1005000000,212,Nut Driver 3\8
1005000213,1005000000,213,Nut Driver 3\8
1005000214,1005000000,214,Nut Driver 3\8
1005000215,1005000000,215,Nut Driver 3\8
1005000216,1005000000,216,Nut Driver 3\8
1005000217,1005000000,217,Nut Driver 3\8
1005000218,1005000000,218,Nut Driver 3\8
1005000219,1005000000,219,Nut Driver 3\8
1005000220,1005000000,220,Nut Driver 3\8
1005000221,1005000000,221,Nut Driver 3\8
1005000222,1005000000,222,Nut Driver 3\8
1005000223,1005000000,223,Nut Driver 3\8
1005000224,1005000000,224,Nut Driver 3\8
1005000225,1005000000,225,Nut Driver 3\8
1005000226,1005000000,226,Nut Driver 3\8
1005000227,1005000000,227,Nut Driver 3\8
1005000228,1005000000,228,Nut Driver 3\8
1005000229,1005000000,229,Nut Driver 3\8
1005000230,1005000000,230,Nut Driver 3\8
1005000231,1005000000,231,Nut Driver 3\8
1005000232,1005000000,232,Nut Driver 3\8
1005000233,1005000000,233,Nut Driver 3\8
1005000234,1005000000,234,Nut Driver 3\8
1005000235,1005000000,235,Nut Driver 3\8
1005000236,1005000000,236,Nut Driver 3\8
1005000237,1005000000,237,Nut Driver 3\8
1005000238,1005000000,238,Nut Driver 3\8
1005000239,1005000000,239,Nut Driver 3\8
1005000240,1005000000,240,Nut Driver 3\8
1005000241,1005000000,241,Nut Driver 3\8
1005000242,1005000000,242,Nut Driver 3\8
1005000243,1005000000,243,Nut Driver 3\8
1005000244,1005000000,244,Nut Driver 3\8
1005000245,1005000000,245,Nut Driver 3\8
1005000246,1005000000,246,Nut Driver 3\8
1005000247,1005000000,247,Nut Driver 3\8
1005000248,1005000000,248,Nut Driver 3\8
1005000249,1005000000,249,Nut Driver 3\8
1005000250,1005000000,250,Nut Driver 3\8
1006000251,1006000000,251,5\16 Inch nut driver
1006000252,1006000000,252,5\16 Inch nut driver
1006000253,1006000000,253,5\16 Inch nut driver
1006000254,1006000000,254,5\16 Inch nut driver
1006000255,1006000000,255,5\16 Inch nut driver
1006000256,1006000000,256,5\16 Inch nut driver
1006000257,1006000000,257,5\16 Inch nut driver
1006000258,1006000000,258,5\16 Inch nut driver
1006000259,1006000000,259,5\16 Inch nut driver
1006000260,1006000000,260,5\16 Inch nut driver
1006000261,1006000000,261,Nut Driver 5\16
1006000262,1006000000,262,Nut Driver 5\16
1006000263,1006000000,263,Nut Driver 5\16
1006000264,1006000000,264,Nut Driver 5\16
1006000265,1006000000,265,Nut Driver 5\16
1006000266,1006000000,266,Nut Driver 5\16
1006000267,1006000000,267,Nut Driver 5\16
1006000268,1006000000,268,Nut Driver 5\16
1006000269,1006000000,269,Nut Driver 5\16
1006000270,1006000000,270,Nut Driver 5\16
1006000271,1006000000,271,Nut Driver 5\16
1006000272,1006000000,272,Nut Driver 5\16
1006000273,1006000000,273,Nut Driver 5\16
1006000274,1006000000,274,Nut Driver 5\16
1006000275,1006000000,275,Nut Driver 5\16
1006000276,1006000000,276,Nut Driver 5\16
1006000277,1006000000,277,Nut Driver 5\16
1006000278,1006000000,278,Nut Driver 5\16
1006000279,1006000000,279,Nut Driver 5\16
1006000280,1006000000,280,Nut Driver 5\16
1006000281,1006000000,281,Nut Driver 5\16
1006000282,1006000000,282,Nut Driver 5\16
1006000283,1006000000,283,Nut Driver 5\16
1006000284,1006000000,284,Nut Driver 5\16
1006000285,1006000000,285,Nut Driver 5\16
1006000286,1006000000,286,Nut Driver 5\16
1006000287,1006000000,287,Nut Driver 5\16
1006000288,1006000000,288,Nut Driver 5\16
1006000289,1006000000,289,Nut Driver 5\16
1006000290,1006000000,290,Nut Driver 5\16
1006000291,1006000000,291,Nut Driver 5\16
1006000292,1006000000,292,Nut Driver 5\16
1006000293,1006000000,293,Nut Driver 5\16
1006000294,1006000000,294,Nut Driver 5\16
1006000295,1006000000,295,Nut Driver 5\16
1006000296,1006000000,296,Nut Driver 5\16
1006000297,1006000000,297,Nut Driver 5\16
1006000298,1006000000,298,Nut Driver 5\16
1006000299,1006000000,299,Nut Driver 5\16
1006000300,1006000000,300,Nut Driver 5\16
1006000301,1006000000,301,Nut Driver 5\16
1006000302,1006000000,302,Nut Driver 5\16
1006000303,1006000000,303,Nut Driver 5\16
1006000304,1006000000,304,Nut Driver 5\16
1006000305,1006000000,305,Nut Driver 5\16
1006000306,1006000000,306,Nut Driver 5\16
1006000307,1006000000,307,Nut Driver 5\16
1006000308,1006000000,308,Nut Driver 5\16
1006000309,1006000000,309,Nut Driver 5\16
1006000310,1006000000,310,Nut Driver 5\16
1007000311,1007000000,311,7\16 Inch nut driver
1007000312,1007000000,312,7\16 Inch nut driver
1007000313,1007000000,313,7\16 Inch nut driver
1007000314,1007000000,314,7\16 Inch nut driver
1007000315,1007000000,315,7\16 Inch nut driver
1007000316,1007000000,316,7\16 Inch nut driver
1007000317,1007000000,317,7\16 Inch nut driver
1007000318,1007000000,318,7\16 Inch nut driver
